file,doc_id,doc_type,essay_type,lang,title,container_title,publ_year,publisher,n_authors,n_editors,cust_groups,n_topics,n_keywords,n_countries,n_orgs,topics,keywords,countries,organizations,n_sections,n_xrefs,word_count,isbn,issn,pages_start,pages_end,supplement,updated
KLI-KCL-Roy-2024-b001.xml,KLI-KCL-Roy-2024-b001,essay,monograph,en,Index,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",0,0,0,0,(),(),(),(),1,0,3612,9789403531373,,487,496,,
KLI-KCL-Roy-2024-Ch01.xml,KLI-KCL-Roy-2024-Ch01,essay,monograph,en,Chapter 1: Introduction to Competition Law,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",3,0,1,0,"('Antitrust', 'Cartels', 'Mergers')",(),"('India',)",(),16,4,37038,9789403531373,,1,78,,
KLI-KCL-Roy-2024-Ch02.xml,KLI-KCL-Roy-2024-Ch02,essay,monograph,en,Chapter 2: Anti-competitive Agreements and Competition Law,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",2,0,1,0,"('Antitrust', 'Cartels')",(),"('India',)",(),20,3,48092,9789403531373,,79,186,,
KLI-KCL-Roy-2024-Ch03.xml,KLI-KCL-Roy-2024-Ch03,essay,monograph,en,Chapter 3: Abuse of Dominance and Competition Law,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",1,0,1,0,"('Antitrust',)",(),"('India',)",(),8,0,49643,9789403531373,,187,284,,
KLI-KCL-Roy-2024-Ch04.xml,KLI-KCL-Roy-2024-Ch04,essay,monograph,en,Chapter 4: Mergers and Competition Law,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",1,0,1,0,"('Mergers',)",(),"('India',)",(),20,0,48309,9789403531373,,285,388,,
KLI-KCL-Roy-2024-Ch05.xml,KLI-KCL-Roy-2024-Ch05,essay,monograph,en,Chapter 5: Intellectual Property and Competition Law,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",2,0,1,0,"('Antitrust', 'Mergers')",(),"('India',)",(),7,1,24026,9789403531373,,389,436,,
KLI-KCL-Roy-2024-Ch06.xml,KLI-KCL-Roy-2024-Ch06,essay,monograph,en,Chapter 6: Digital Markets and Competition Law,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",2,0,1,0,"('Antitrust', 'Mergers')",(),"('India',)",(),8,0,22486,9789403531373,,437,486,,
KLI-KCL-SMEU-2406011.xml,KLI-KCL-SMEU-2406011,legislation,,en,Communication from the Commission – Commission Notice on the definition of the relevant market for the purposes of Union competition law,Selected Materials from the European Union,,European Union,0,0,"('KCL',)",2,0,0,0,"('Antitrust', 'Mergers')",(),(),(),7,1,24060,,IS023,,,,
KLI-KCL-SMEU-2417004.xml,KLI-KCL-SMEU-2417004,legislation,,en,"Apple – Number-independent interpersonal communications services, Summary of Commission Decision of 12 February 2024, Case No. DMA.100022, OJ C, C/2024/2710 of 18 April 2024 (OJ version)",Selected Materials from the European Union,,European Union,0,0,"('KCL',)",0,0,0,0,(),(),(),(),2,1,1487,,IS023,,,,
KLI-KCL-SMEU-2426001.xml,KLI-KCL-SMEU-2426001,legislation,,en,"BLACKROCK / GIM, Commission Decision of 20 June 2024, Case No. M.11467 (public version)",Selected Materials from the European Union,,European Union,0,0,"('KCL',)",1,0,0,0,"('Mergers',)",(),(),(),2,1,406,,IS023,,,,
TOC-Roy-2024.xml,TOC-Roy-2024,booktoc,,,,Competition Law in India: A Practical Guide (Second Edition),2024.0,Kluwer Law International,0,0,"('KCL',)",0,0,0,0,(),(),(),(),0,10,0,9789403531373,,v,486,,
