file,doc_id,doc_type,essay_type,lang,title,container_title,publ_year,publisher,n_authors,n_editors,cust_groups,n_topics,n_keywords,n_countries,n_orgs,topics,keywords,countries,organizations,n_sections,n_xrefs,word_count,isbn,issn,pages_start,pages_end,supplement,updated
KLI-KA-AI-Arbitration-2026-Ch02.xml,KLI-KA-AI-Arbitration-2026-Ch02,essay,monograph,en,Chapter 2: The Trojan Horse of Persuasiveness: Artificial Intelligence in International Arbitration,AI and Arbitration,2026.0,Kluwer Law International,1,2,"('KA',)",0,0,0,0,(),(),(),(),5,24,7632,9789403552804,,,,,
KLI-KA-AI-Arbitration-2026-Ch03.xml,KLI-KA-AI-Arbitration-2026-Ch03,essay,monograph,en,"Chapter 3: A Human Story: AI, Arbitration and the Importance of Judgment",AI and Arbitration,2026.0,Kluwer Law International,2,2,"('KA',)",0,0,0,0,(),(),(),(),8,30,10266,9789403552804,,,,,
KLI-KA-AI-Arbitration-2026-Ch04.xml,KLI-KA-AI-Arbitration-2026-Ch04,essay,monograph,en,Chapter 4: When Decentralised Justice Meets Artificial Intelligence: Law in the Age of Crowds and Code,AI and Arbitration,2026.0,Kluwer Law International,3,2,"('KA',)",0,0,0,0,(),(),(),(),12,104,16665,9789403552804,,,,,
KLI-KA-AI-Arbitration-2026-Ch05.xml,KLI-KA-AI-Arbitration-2026-Ch05,essay,monograph,en,Chapter 5: Reflexive Justice: The Paradox of Predictive Systems in Arbitral Environments,AI and Arbitration,2026.0,Kluwer Law International,2,2,"('KA',)",0,0,0,0,(),(),(),(),7,41,14734,9789403552804,,,,,
KLI-KA-AI-Arbitration-2026-Ch06.xml,KLI-KA-AI-Arbitration-2026-Ch06,essay,monograph,en,Chapter 6: Artificial Intelligence in International Arbitration: From Tool to Adjudicator,AI and Arbitration,2026.0,Kluwer Law International,1,2,"('KA',)",0,0,0,0,(),(),(),(),9,58,19195,9789403552804,,,,,
KLI-KA-Binder-2019-b001.xml,KLI-KA-Binder-2019-b001,legislation,,en,UNCITRAL Model Law on International Commercial Arbitration 1985 (Revised 2006),International Commercial Arbitration and Mediation in UNCITRAL Model Law Jurisdictions,2019.0,Kluwer Law International,0,0,"('KA',)",0,0,0,0,(),(),(),(),15,0,7255,9789041168924,,963,982,,
KLI-KA-ICCA-HB-105-006-n.xml,KLI-KA-ICCA-HB-105-006-n,essay,monograph,en,National Report for Scotland (2019 through 2023),ICCA International Handbook on Commercial Arbitration,2023.0,ICCA & Kluwer Law International,1,1,"('KA', 'IHB')",0,0,1,0,(),(),"('Scotland',)",(),9,22,13330,9789065449672,,1,36,125,20230200
KLI-KA-ICCA-HB-126-002-n.xml,KLI-KA-ICCA-HB-126-002-n,essay,monograph,en,National Report for Egypt (2018 through 2025),ICCA International Handbook on Commercial Arbitration,2023.0,ICCA & Kluwer Law International,2,1,"('KA', 'IHB')",0,0,1,0,(),(),"('Egypt',)",(),9,20,40580,9789065449672,,1,94,140,20251000
KLI-KA-ICCA-HB-127-006-n.xml,KLI-KA-ICCA-HB-127-006-n,legislation,,en,"Law on Mediation, in effect 20 December 2004, as amended",ICCA International Handbook on Commercial Arbitration,2023.0,ICCA & Kluwer Law International,0,1,"('KA', 'IHB')",0,0,0,0,(),(),(),(),13,1,4624,9789065449672,,1,12,136,20250200
KLI-KA-ICCA-HB-92-001-n.xml,KLI-KA-ICCA-HB-92-001-n,essay,monograph,en,National Report for Latvia (2018 through 2025),ICCA International Handbook on Commercial Arbitration,2023.0,ICCA & Kluwer Law International,2,1,"('KA', 'IHB')",0,0,1,0,(),(),"('Latvia',)",(),9,36,20243,9789065449672,,1,56,141,20251200
KLI-KA-IJAA-2022-14-2-002.xml,KLI-KA-IJAA-2022-14-2-002,commentary,comment,en,The New Moroccan Law on Arbitration: A Commentary,International Journal of Arab Arbitration,2022.0,International Journal of Arab Arbitration,1,0,"('KA',)",0,0,0,0,(),(),(),(),4,3,3323,,2219-6447,22,31,,
KLI-KA-Shirlow-Nasir-2022-Ch05.xml,KLI-KA-Shirlow-Nasir-2022-Ch05,commentary,comment,en,Chapter 5: Signs of a Subjective Approach to Treaty Interpretation in Investment Arbitration: A Justified Divergence from the VCLT?,"The Vienna Convention on the Law of Treaties in Investor-State Disputes: History, Evolution and Future",2022.0,Kluwer Law International,1,2,"('KA',)",0,0,0,0,(),(),(),(),5,23,9853,9789403526607,,89,108,,
TOC-AI-Arbitration-2026.xml,TOC-AI-Arbitration-2026,booktoc,,,,AI and Arbitration,2026.0,Kluwer Law International,0,2,"('KA',)",0,0,0,0,(),(),(),(),0,5,0,9789403552804,,,,,
